t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.87,(-0.10044776244899982+0.051364657267842326j),(-1.940349444491695+0.45579613076444864j),(-0.3501819455074923-1.8512643664317185j),(2.999921401009072+4.363758135655818j),(-0.40706654522258634-0.19766754905355946j),(0.008604179037556423-0.23291148882058954j)
0.88,(-0.10516429242259383+0.056592152304938664j),(-1.9542866810980475+0.4578839411164237j),(-0.4166099771606843-1.777699204933107j),(3.360640770893023+4.257584445778845j),(-0.39652866072279375-0.20659740955474276j),(0.02673480787275445-0.2158759061245099j)
0.89,(-0.11089847315535893+0.061866987584283974j),(-1.9679416226733257+0.45409596775833827j),(-0.4780247235199683-1.705408759919987j),(3.7192248613807686+4.119023286496325j),(-0.38365864295051805-0.21760445424269256j),(0.043555310696085134-0.19751046080691836j)
0.9,(-0.1177107196468112+0.0670725182927156j),(-1.9794035001502555+0.4443235761802346j),(-0.535288177546897-1.6349884971325022j),(4.071158764959895+3.947732668294284j),(-0.36786546406464-0.23028283369098188j),(0.05893089705308477-0.17790085766647332j)
0.91,(-0.125525478376239+0.0722279640560901j),(-1.9887836430567938+0.4296034007306684j),(-0.5889973346226344-1.5670937312487885j),(4.412280049953014+3.74357015333628j),(-0.34887571657821154-0.2448579708880632j),(0.07273436031881163-0.15714789797053655j)
0.92,(-0.13436938029723078+0.07726629352257419j),(-1.993810971720373+0.41021280182527103j),(-0.6397581748079888-1.502562501530538j),(4.738146019553791+3.5072122547227274j),(-0.3257240360900454-0.26068531261541383j),(0.08484821999612491-0.13536683766012064j)
0.93,(-0.1442623501037523+0.08207753809464555j),(-1.9909683546726902+0.3876951647247994j),(-0.6881015462838174-1.4424706974077428j),(5.043945394479314+3.24036327154124j),(-0.2978585628850205-0.2761604290075924j),(0.09516679999891905-0.11268639890021916j)
0.9400000000000001,(-0.15510409804337755+0.08666231562188836j),(-1.9795238905374994+0.3650920545727675j),(-0.7338951456785462-1.3880252248297722j),(5.3251952513078455+2.944832320792598j),(-0.2654871403384357-0.29006876966647716j),(0.10359816516334458-0.08924746233718628j)
0.9500000000000001,(-0.16667175884644836+0.09107433950441847j),(-1.9605382379553542+0.3448977852377255j),(-0.7760886349207087-1.3401875386954996j),(5.577682079460684+2.622138500819022j),(-0.2291117580469366-0.301872294545563j),(0.11006587626139759-0.06520142933687317j)
0.96,(-0.17874594650132575+0.0952699689792513j),(-1.9344614874246246+0.3299696490452252j),(-0.8131026400664831-1.2992974773687982j),(5.797053139298266+2.274131457490722j),(-0.18975423910805841-0.31085548413113007j),(0.1145104906556228-0.04070829480500121j)
