t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.96,(0.6387594678629944-0.9697320434374531j),(-0.26252475425884314-1.7739108044371488j),(-0.599973366013534-0.8268779610600161j),(-1.5430268142235921+0.6313984990190311j),(-1.4256966026951177-0.19704232283211193j),(0.6387594678629944-0.9697320434374531j)
0.97,(0.6546172481014537-0.9946447530002129j),(-0.2956071669484018-1.8326093830176045j),(-0.6156000328233178-0.8462477492663679j),(-1.508277249413938+0.6582788584442515j),(-1.434752928083994-0.17257754328467864j),(0.6546172481014537-0.9946447530002129j)
0.98,(0.6709744515164248-1.020437163747187j),(-0.332596287841727-1.8939368707406354j),(-0.6324518038041794-0.8655892214121451j),(-1.472852378628258+0.682545198362919j),(-1.442670310569282-0.1474187930360803j),(0.6709744515164248-1.020437163747187j)
0.99,(0.6878426657464425-1.0471259288691437j),(-0.37392353487997565-1.957916044743237j),(-0.650580514243238-0.8848383479305797j),(-1.4370058983926008+0.7042066312012862j),(-1.449379553445447-0.12166746395093812j),(0.6878426657464425-1.0471259288691437j)
1.0,(0.705232535462841-1.0747274722846685j),(-0.4200655466907695-2.0245411157714366j),(-0.6700358028131729-0.9039241472006495j),(-1.4009797511174986+0.7233019004995218j),(-1.4548231255651318-0.09543371066018339j),(0.705232535462841-1.0747274722846685j)
1.01,(0.723153559068242-1.1032579077568359j),(-0.47154677628166247-2.0937690972288863j),(-0.6908642682189013-0.9227684167863078j),(-1.3650005433988475+0.7398960260975389j),(-1.4589564774402968-0.06883475689105448j),(0.723153559068242-1.1032579077568359j)
1.02,(0.7416138605117364-1.1327329497067755j),(-0.5289412121170004-2.1655093277337105j),(-0.7131085274078417-0.9412855410915326j),(-1.3292767889592039+0.7540765904408516j),(-1.461749058724523-0.04199297365443373j),(0.7416138605117364-1.1327329497067755j)
1.03,(0.7606199351885427-1.1631678162098917j),(-0.5928727256855141-2.239610934579666j),(-0.7368061780709563-0.9593823973435495j),(-1.2939969709220016+0.7659498550524626j),(-1.463184992972782-0.015033791648013866j),(0.7606199351885427-1.1631678162098917j)
1.04,(0.7801763693067342-1.1945771248079524j),(-0.6640134057505139-2.3158481008788208j),(-0.7619886721946076-0.9769583836706582j),(-1.2593283784138691+0.7756368749343965j),(-1.463263380577817+0.01191648049694519j),(0.7801763693067342-1.1945771248079524j)
1.05,(0.8002855326377931-1.2269747819196672j),(-0.7430827164140902-2.393906563228101j),(-0.7886801122832913-0.9939055942928525j),(-1.225416642684431+0.7832697508091974j),(-1.4619982178222184+0.03873285532978103j),(0.8002855326377931-1.2269747819196672j)
