t,B00_A_0000,B00_A_0001
1.4000000000000001,(0.00631965127759848+0.02205650389104526j),(4.383899135418491e-08-6.10848738060478e-08j)
1.41,(0.00808587314363832+0.021474067993375957j),(3.4744027367744306e-08-5.3079976148324596e-08j)
1.42,(0.009764316566133326+0.020766822399871213j),(2.7572312497782755e-08-4.6274525122418224e-08j)
1.43,(0.011351323509665102+0.01994574103417303j),(2.1882924164184165e-08-4.046711394392574e-08j)
1.44,(0.012844304847036095+0.019020725592814224j),(1.7343062826991018e-08-3.5490565410986904e-08j)
1.45,(0.014241451913576147+0.018000587302073698j),(1.37003763849639e-08-3.120671224354058e-08j)
1.46,(0.015541469299309031+0.016893070066810977j),(1.076259566780171e-08-2.7501677573497454e-08j)
1.47,(0.016743330854731724+0.015704908857580493j),(8.382505380087131e-09-2.4281758529147177e-08j)
1.48,(0.017846059956028053+0.014441918043967505j),(6.446813962059564e-09-2.1469917928775478e-08j)
1.49,(0.01884853447710829+0.013109105272301672j),(4.867878298807192e-09-1.90028392711477e-08j)
1.5,(0.019749316615099478+0.011710807342239631j),(3.57752427093686e-09-1.6828478687215357e-08j)
1.51,(0.020546507675333513+0.010250845308526498j),(2.5224109316288013e-09-1.4904041997715025e-08j)
1.52,(0.021237628102385175+0.00873269668035869j),(1.6605360498465019e-09-1.3194318022442875e-08j)
1.53,(0.021819523405496147+0.007159683077152005j),(9.585895269686377e-10-1.1670306369496244e-08j)
1.54,(0.022288297129293953+0.005535171997351074j),(3.8994013629549634e-10-1.0308086544402974e-08j)
1.55,(0.022639272622176625+0.003862791441150871j),(-6.690163254417985e-11-9.08788395291661e-09j)
1.56,(0.02286698601050135+0.002146655976603371j),(-4.2946019258565586e-10-7.993296498162803e-09j)
1.57,(0.022965213447911706+0.00039160243258354105j),(-7.121962692729286e-10-7.0106526525951336e-09j)
1.58,(0.022927036320869162-0.0013965672734660055j),(-9.271965067922985e-10-6.1284779932374235e-09j)
1.59,(0.02274494859123892-0.003210839619232955j),(-1.0846988299209527e-09-5.337052215945175e-09j)
1.6,(0.022411010773419268-0.005042743951823589j),(-1.1934897028188106e-09-4.628042643222227e-09j)
1.61,(0.02191705517892634-0.006882114155208752j),(-1.2612009849289813e-09-3.994203229827449e-09j)
1.62,(0.021254948856863107-0.008716866047748979j),(-1.2945247287898145e-09-3.4291287432174533e-09j)
1.6300000000000001,(0.020416910496836856-0.010532798558761223j),(-1.2993818129708451e-09-2.9270628009789613e-09j)
1.6400000000000001,(0.01939589056359481-0.01231343255647708j),(-1.2810292332815303e-09-2.482747234929395e-09j)
1.6500000000000001,(0.018186013998796415-0.014039900282142382j),(-1.244136566958284e-09-2.0913085162459226e-09j)
