t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00
1.1400000000000001,(-0.7455575013760337-0.6085515704012507j),(-0.2160691705953267+0.7439987510723175j),(-1.2561286913405287-0.09376242322695105j),(0.8287294086338703+1.5325614089462791j),(-0.3605346317596024+0.14238644706472606j),(0.552689444120606+0.4109385644152305j),(-0.969779167947293+0.05148076290811473j),(0.7230354250551625-0.03270131951266621j),(1.2766435659461781-2.401978700860247j),(-1.388896828500249+0.5381899858885797j),(1.286126109034513+0.5156651655474787j)
1.1500000000000001,(-0.747203947273109-0.6045196155185022j),(-0.21792059225904334+0.7373147728517608j),(-1.2505784517881853-0.09125973585942317j),(0.8261027527334894+1.531342033092346j),(-0.3659390089387593+0.14452521798721324j),(0.5457255931752653+0.40849808462501086j),(-0.9649358938300188+0.0527824503432671j),(0.7118081180020615-0.029321006827652183j),(1.2854729596805192-2.405459510229808j),(-1.3859228382238404+0.5360083405536046j),(1.2811954972120285+0.5167549902944615j)
1.16,(-0.748467498972292-0.6012136648996701j),(-0.2202467477725667+0.7309187011401281j),(-1.245360546864305-0.08970011426308253j),(0.823366480105905+1.5303260544827788j),(-0.3709123274137188+0.14663026862345935j),(0.5387838686172078+0.40643086753623425j),(-0.9604322632611532+0.05350635666207179j),(0.7009361703689341-0.025833899389196533j),(1.2948798621333137-2.409469786504312j),(-1.383398330988059+0.5335554997798904j),(1.2763547038176246+0.5180975042046884j)
1.17,(-0.7494175294988492-0.598813788757034j),(-0.22300667955071857+0.7249876083479321j),(-1.2407649365213445-0.08919767448560399j),(0.8205683039445877+1.5295338016175128j),(-0.3753301460030827+0.14865456449608025j),(0.5319780147128021+0.40476198894614j),(-0.956473307161985+0.05363301981841133j),(0.6905555026554477-0.022237867836616115j),(1.3048894349932578-2.4141405375788327j),(-1.3814543802062882+0.5308987663844106j),(1.2716190071811662+0.519678823337585j)
1.18,(-0.7501391915273838-0.5975176641342407j),(-0.22613802779710035+0.7197272436560632j),(-1.2371259086619057-0.08986183065679208j),(0.8177688055067124+1.528987505254075j),(-0.3790442172064532+0.1505447148976794j),(0.5254469228589994+0.4035134058074185j),(-0.9532933768413324+0.053152774995043534j),(0.6808267639236557-0.01853580454517223j),(1.3155099279343878-2.4196097543188566j),(-1.3802364081051708+0.5281294715227685j),(1.2670123221151497+0.5214775614566407j)
1.19,(-0.7506528892543557-0.5974161014191036j),(-0.2294999090245133+0.7153376949862904j),(-1.2346585011150086-0.09166271446756048j),(0.8150477860276768+1.5287332631137525j),(-0.3818884857154999+0.15227166541037707j),(0.5193954720776998+0.4026937397824148j),(-0.9510630363028924+0.052102400356583776j),(0.6719614503786304-0.014855682985584016j),(1.3264345843923744-2.4257233062663324j),(-1.379839827570289+0.5253937737266113j),(1.2627219597906834+0.5234603782423316j)
1.2,(-0.7510267514284886-0.5984804320565335j),(-0.23290356182976993+0.7119655371296191j),(-1.2334812155392323-0.09441862411067142j),(0.8124924451459934+1.528766317827343j),(-0.3838200369704337+0.1537305466139172j),(0.5140262511277486+0.402269831969481j),(-0.9498920476952362+0.05057333737355043j),(0.6641576528465148-0.011365077257120099j),(1.337228759962512-2.4322303944479673j),(-1.3802577594144425+0.5228197547159893j),(1.2588944526841241+0.5255539802340463j)
1.21,(-0.7513527255740731-0.6006251220223274j),(-0.23618083009246274+0.7096877764078945j),(-1.2336398034587333-0.09791087912857967j),(0.8101762231577233+1.5290618440071526j),(-0.3848663681404846+0.1548253668740835j),(0.5094826533279858+0.4021924508633545j),(-0.949826949043381+0.04868315705310636j),(0.6575437195031849-0.008194466558908042j),(1.3475421414706346-2.4389283437958773j),(-1.3814378564295033+0.5205141259188044j),(1.2556169459998057+0.5276816158641198j)
1.22,(-0.7517289574289001-0.6037055056572898j),(-0.2391857246381937+0.7085099627647935j),(-1.2350942861533576-0.10188725660747591j),(0.8081574752926984+1.529585747134698j),(-0.38510989097255965+0.15548908447664828j),(0.5058498375003133+0.4024005265953252j),(-0.9508423099842233+0.04657465145826331j),(0.6521777182457508-0.0054438493003367665j),(1.3570967475648035-2.4456414409679836j),(-1.383287261739333+0.5185693821911171j),(1.252942109007156+0.5297691531927251j)
1.23,(-0.7522597909442608-0.6075177856672314j),(-0.24179442323857422+0.7083661897658244j),(-1.2377189546586416-0.1060619911772867j),(0.806479471714521+1.530294663560707j),(-0.3846879317912435+0.1556836076273724j),(0.5031547279696942+0.4028211509332355j),(-0.9528407317665376+0.04441583370788192j),(0.648047436692557-0.00318274310105654j),(1.3656869287153055-2.4522209343480155j),(-1.3856726087997808+0.5170638018171455j),(1.2508881350406973+0.5317450799078735j)
1.24,(-0.7530557682849468-0.6117990331229703j),(-0.24390527061122513+0.7091190945983276j),(-1.2413023697658105-0.11011577501167442j),(0.8051703975205639+1.531135960505117j),(-0.3837927314987979+0.15539979445200533j),(0.5013660145641533+0.4033695772814803j),(-0.9556528472509779+0.042399937976671714j),(0.6450703821831826-0.0014501847909789735j),(1.373179367214655-2.4585450340455077j),(-1.3884200213986857+0.5160614465092658j),(1.2494387415000463+0.5335405033254143j)
1.25,(-0.7542336298292502-0.6162271874603313j),(-0.24543877841977668+0.7105598580714749j),(-1.2455473620217805-0.11369575782803741j),(0.8042433527419706+1.5320477360570757j),(-0.3826714455751618+0.15465745299628506j),(0.5003941526147772+0.40394922068100697j),(-0.9590373209100767+0.04074541949519111j),(0.6430937817784406-0.0002547304102770466j),(1.3795130771775925-2.464518911895804j),(-1.3913151136558743+0.5156121614080116j),(1.2485431698499134+0.5350891503890345j)
1.26,(-0.755877159529533-0.6204655758789729j),(-0.2463603000675166+0.7124205403151287j),(-1.250101754468705-0.11648775512002528j),(0.8036828580314475+1.532963367700022j),(-0.38159478392997553+0.15351434267405925j),(0.5000873630343535+0.4044629432421499j),(-0.9627011810545636+0.03964987089013792j),(0.6418903781463763+0.00042813546156777923j),(1.3847154549580674-2.470076664818208j),(-1.3941303810878716+0.5157245042590954j),(1.2481100773379519+0.5363430299828469j)
1.27,(-0.757831874244801-0.6244646448517331j),(-0.24678630195982248+0.7145220211265565j),(-1.2548031127468697-0.11863334085369218j),(0.8033952264929519+1.5338510568526973j),(-0.3806198863464998+0.15208886957762996j),(0.5002712116569812+0.4048902616101938j),(-0.966482346012845+0.03901985784655115j),(0.6412255752905549+0.0006593555275573308j),(1.3889521800125533-2.4752055214652513j),(-1.3968151623356921+0.516247274535008j),(1.2480147022583261+0.5373509513610337j)
1.28,(-0.7600064665686201-0.6281936083230294j),(-0.2467918293847805+0.7167628676549783j),(-1.2595419236224052-0.12021555637221773j),(0.8033300659721315+1.5346933375992031j),(-0.37976406094015414+0.15046013952166135j),(0.5008415238761731+0.4052176414339109j),(-0.9702785802541616+0.03879598159338525j),(0.6409706690871183+0.000495449164206632j),(1.3923498804790915-2.4799249796541774j),(-1.3993359004739103+0.5170970661378326j),(1.2481839688738583+0.5381373179114773j)
1.29,(-0.7623447115224382-0.631616906165595j),(-0.2464335534946558+0.7190548722919099j),(-1.2642227607858247-0.12127924150575262j),(0.8034489616486632+1.535475465850697j),(-0.37905082803198464+0.1486910597637177j),(0.5017091398274147+0.4054299082947993j),(-0.9740027138174329+0.03894409723593398j),(0.6410138989653378-9.385986848179447e-06j),(1.3950218973906239-2.4842596398118313j),(-1.401658699181854+0.5182144520331883j),(1.2485564435945509+0.5387190275850008j)
1.3,(-0.7648047374914986-0.6347131549794444j),(-0.24576249190666144+0.7213237284924379j),(-1.2687751729025123-0.1218666524683869j),(0.8037167261845696+1.5361866820296357j),(-0.37849860866185814+0.1468346325490162j),(0.5027935759004233+0.40551492238312764j),(-0.9775883638628401+0.039432889153305985j),(0.641251657559448-0.0008015298496998457j),(1.3970785615722756-2.4882386203326696j),(-1.4037607121144882+0.5195478544414625j),(1.2490762994722227+0.5391141168223899j)
1.31,(-0.7673590262248394-0.6374751480918739j),(-0.24482400870295873+0.723509030775219j),(-1.2731536836127213-0.12201746185814999j),(0.8041013997242189+1.5368202110697757j),(-0.3781207245884622+0.14493395511042678j),(0.5040230247391481+0.40546357849793535j),(-0.9809899346718258+0.04023387099842487j),(0.6415884907086465-0.0018279399141699882j),(1.3986271936413557-2.4918955575787622j),(-1.4056301429024145+0.5210535448378107j),(1.2496933162005084+0.5393417605543924j)
1.32,(-0.7699944128352948-0.6399098555574613j),(-0.24365781443065695+0.7255642747224805j),(-1.2773377915315756-0.12176875865701059j),(0.8045742498943255+1.5373732624161731j),(-0.37792539828930516+0.1430222196684723j),(0.5053343552417702+0.4052698060470326j),(-0.9841826176470945+0.04132138569802914j),(0.6419370974570943-0.0030361512358091057j),(1.3997721040073563-2.495268605879789j),(-1.4072662451518723+0.5226956439521574j),(1.2503628801148592+0.5394222722017189j)
