t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00
1.03,(1.0002157375270737-0.00015282596604586056j),(2.6144914389375904+1.9075217371381288j),(0.28053242155521074-0.6454043188522293j),(0.4048313815131271-0.32401905001340575j),(-0.3354297220781631-0.788761910918578j),(4.444155163762448+0.6856138077615148j),(-1.2191030444147937+0.225739520519138j),(-1.6508267861388555+0.852413386047748j),(-1.104701642545619+1.0937646338128943j),(1.0002157375270737-0.00015282596604586056j)
1.04,(1.0002202495775068-0.00015164530472156084j),(2.4978143775192096+1.9155465691474718j),(0.2879500170514081-0.664579830596069j),(0.4104537314297317-0.3359689535626487j),(-0.34247141388334557-0.8118094591950499j),(4.378817250816598+0.8450316232370332j),(-1.2104106864296713+0.23426041568701322j),(-1.6056445034414393+0.8734762408350412j),(-1.0660208111411476+1.0828647109695706j),(1.0002202495775068-0.00015164530472156084j)
1.05,(1.0002247020525918-0.00015039128395633332j),(2.3859594051179553+1.916646584384914j),(0.2955520692868702-0.6840102832793995j),(0.4162729696577672-0.3479197230560408j),(-0.35005051300663365-0.8351424068022522j),(4.301178304713555+0.9964133245510192j),(-1.2015228437942669+0.24230356814239049j),(-1.560862252695267+0.8915127318772779j),(-1.029274668141464+1.0709046558568704j),(1.0002247020525918-0.00015039128395633332j)
1.06,(1.0002290876378745-0.00014907147345019097j),(2.2793562600145707+1.9117001683746009j),(0.30333269315194544-0.7036818210013479j),(0.4222830911634626-0.35985561893397683j),(-0.35818810106161675-0.8587375354856356j),(4.2125361685607166+1.1385226785884959j),(-1.1924775352967267+0.24986180680878606j),(-1.516721336223508+0.9066863084692133j),(-0.9944376483229298+1.0580542147171295j),(1.0002290876378745-0.00014907147345019097j)
1.07,(1.0002333995455106-0.00014769394693866985j),(2.1782805538323236+1.901565760987082j),(0.31128497844405756-0.7235796595397299j),(0.4284771498617474-0.3717608755106747j),(-0.366904536804575-0.8825692057312141j),(4.114348003915464+1.2703434513453433j),(-1.183312518783312+0.25693170017910416j),(-1.473430792528758+0.9191770296452111j),(-0.9614720985835977+1.0444700737709844j),(1.0002333995455106-0.00014769394693866985j)
1.08,(1.0002376315523673-0.0001462672162367633j),(2.082872883760438+1.8870598341626603j),(0.31940094327763424-0.7436880782024501j),(0.43484726374358906-0.38361975558687383j),(-0.37621923602674556-0.9066092758999703j),(4.008183113732967+1.3911042940808285j),(-1.1740648802474483+0.2635133946338032j),(-1.4311676989467486+0.9291760041934677j),(-0.9303305955856276+1.0302957670957273j),(1.0002376315523673-0.0001462672162367633j)
1.09,(1.0002417780305892-0.00014480016086548174j),(1.99315992568312+1.8689413041763279j),(0.32767149144572394-0.7639904200499416j),(0.4413846280610049-0.3954166094928987j),(-0.3861504361108764-0.9308270428192305j),(3.8956821470588308+1.500281991460066j),(-1.1647706607362052+0.26961040566164163j),(-1.3900782992575003+0.936880408567579j),(-0.9009580334954598+1.0156618540937723j),(1.0002417780305892-0.00014480016086548174j)
1.1,(1.000245833970398-0.00014330195423291084j),(1.9090757591480991+1.8479017998797185j),(0.3360863753560227-0.7844691018778288j),(0.4480795370848783-0.4071359384895993j),(-0.3967149474377192-0.9551892085960133j),(3.7784964773870664+1.5976164999932738j),(-1.1554645258397271+0.27522937023063737j),(-1.3502797605694024+0.9424891594950733j),(-0.8732934739170157+1.0006863040590597j),(1.000245833970398-0.00014330195423291084j)
1.11,(1.0002497949950593-0.00014178198736515663j),(1.830482108210185+1.8245608898597425j),(0.3446341663436022-0.8051056353424673j),(0.4549214149057248-0.41876246231364295j),(-0.4079278945884385-0.9796598785182958j),(3.658245482193687+1.6830936213425434j),(-1.1461794808465802+0.2803797688159629j),(-1.3118623749791585+0.9461992702490241j),(-0.8472717602815595+0.9854750329377812j),(1.0002497949950593-0.00014178198736515663j)
1.12,(1.0002536573681013-0.00014024979118385078j),(1.7571866381228924+1.7994652405885414j),(0.3533022343057501-0.8258806605672016j),(0.46189885568644845-0.4302811905112984j),(-0.4198024511085376-1.004200594865026j),(3.5364705503515133+1.7569278323483142j),(-1.13694663305218+0.28507362552352206j),(-1.2748920410966342+0.9482028813450958j),(-0.8228249063414278+0.9701225453777994j),(1.0002536573681013-0.00014024979118385078j)
